participant,model,channel,channel_index,baseline_auc,occluded_auc,delta_auc,baseline_accuracy,occluded_accuracy,delta_accuracy
P01,cnn,Fp1,0,0.6175,0.598125,0.01937500000000003,0.5875,0.5375,0.050000000000000044
P01,cnn,AF7,1,0.6175,0.60375,0.01375000000000004,0.5875,0.575,0.012500000000000067
P01,cnn,AF3,2,0.6175,0.599375,0.018125000000000058,0.5875,0.5875,0.0
P01,cnn,F1,3,0.6175,0.6199999999999999,-0.0024999999999998357,0.5875,0.575,0.012500000000000067
P01,cnn,F3,4,0.6175,0.61625,0.0012500000000000844,0.5875,0.5875,0.0
P01,cnn,F5,5,0.6175,0.6131249999999999,0.004375000000000129,0.5875,0.6,-0.012499999999999956
P01,cnn,F7,6,0.6175,0.6056250000000001,0.011874999999999969,0.5875,0.55,0.03749999999999998
P01,cnn,FT7,7,0.6175,0.6143749999999999,0.0031250000000001554,0.5875,0.5625,0.025000000000000022
P01,cnn,FC5,8,0.6175,0.610625,0.0068750000000000755,0.5875,0.5875,0.0
P01,cnn,FC3,9,0.6175,0.596875,0.020625000000000004,0.5875,0.5625,0.025000000000000022
P01,cnn,FC1,10,0.6175,0.605,0.012500000000000067,0.5875,0.575,0.012500000000000067
P01,cnn,C1,11,0.6175,0.6087500000000001,0.008749999999999925,0.5875,0.575,0.012500000000000067
P01,cnn,C3,12,0.6175,0.6212500000000001,-0.003750000000000031,0.5875,0.575,0.012500000000000067
P01,cnn,C5,13,0.6175,0.609375,0.008125000000000049,0.5875,0.575,0.012500000000000067
P01,cnn,T7,14,0.6175,0.6293750000000001,-0.01187500000000008,0.5875,0.5625,0.025000000000000022
P01,cnn,TP7,15,0.6175,0.6125,0.0050000000000000044,0.5875,0.5875,0.0
P01,cnn,CP5,16,0.6175,0.615,0.0025000000000000577,0.5875,0.575,0.012500000000000067
P01,cnn,CP3,17,0.6175,0.6168750000000001,0.0006249999999999867,0.5875,0.575,0.012500000000000067
P01,cnn,CP1,18,0.6175,0.60375,0.01375000000000004,0.5875,0.575,0.012500000000000067
P01,cnn,P1,19,0.6175,0.6125,0.0050000000000000044,0.5875,0.5375,0.050000000000000044
P01,cnn,P3,20,0.6175,0.613125,0.004375000000000018,0.5875,0.6125,-0.025000000000000022
P01,cnn,P5,21,0.6175,0.60375,0.01375000000000004,0.5875,0.575,0.012500000000000067
P01,cnn,P7,22,0.6175,0.5962500000000001,0.02124999999999999,0.5875,0.5625,0.025000000000000022
P01,cnn,P9,23,0.6175,0.59875,0.018750000000000044,0.5875,0.575,0.012500000000000067
P01,cnn,PO7,24,0.6175,0.5993750000000001,0.018124999999999947,0.5875,0.575,0.012500000000000067
P01,cnn,PO3,25,0.6175,0.59625,0.021250000000000102,0.5875,0.575,0.012500000000000067
P01,cnn,O1,26,0.6175,0.615625,0.001875000000000071,0.5875,0.575,0.012500000000000067
P01,cnn,Iz,27,0.6175,0.629375,-0.011874999999999969,0.5875,0.55,0.03749999999999998
P01,cnn,Oz,28,0.6175,0.5925,0.025000000000000022,0.5875,0.575,0.012500000000000067
P01,cnn,POz,29,0.6175,0.6100000000000001,0.007499999999999951,0.5875,0.55,0.03749999999999998
P01,cnn,Pz,30,0.6175,0.608125,0.009375000000000022,0.5875,0.5875,0.0
P01,cnn,CPz,31,0.6175,0.60125,0.016250000000000098,0.5875,0.5875,0.0
