participant,model,n_epochs,n_channels,n_times,sfreq,tmin,tmax,baseline_auc,baseline_accuracy,top_channel,top_channel_delta_auc,top_time_window,top_time_delta_auc
P01,cnn,80,64,1025,1024.0,1.0,2.0,0.6175,0.5875,FC2,0.03562500000000002,1.000-1.250s,0.05687500000000001
P02,cnn,80,64,1025,1024.0,1.0,2.0,0.5265624999999999,0.525,TP8,0.018437499999999885,1.250-1.500s,0.04843749999999997
P03,cnn,80,64,1025,1024.0,1.0,2.0,0.5906250000000001,0.5625,PO3,0.026875000000000093,1.750-2.000s,0.06562500000000004
P05,cnn,80,64,1025,1024.0,1.0,2.0,0.613125,0.5375,O2,0.03500000000000003,1.750-2.000s,0.057499999999999996
P06,cnn,80,64,1025,1024.0,1.0,2.0,0.60375,0.575,FC5,0.055625000000000036,1.750-2.000s,0.11812500000000004
P07,cnn,80,64,1025,1024.0,1.0,2.0,0.45562500000000006,0.525,Fz,0.01937500000000003,1.750-2.000s,0.04187500000000005
P08,cnn,69,64,1025,1024.0,1.0,2.0,0.4831649831649832,0.4782608695652174,C3,0.02020202020202022,1.500-1.750s,0.09680134680134689
P10,cnn,80,64,1025,1024.0,1.0,2.0,0.605,0.4875,T8,0.03500000000000003,1.250-1.500s,0.073125
P11,cnn,80,64,1025,1024.0,1.0,2.0,0.586875,0.5375,FC1,0.025000000000000022,1.750-2.000s,0.07624999999999993
P12,cnn,80,64,1025,1024.0,1.0,2.0,0.6275,0.5875,P2,0.029999999999999916,1.000-1.250s,0.07312499999999988
P13,cnn,80,64,1025,1024.0,1.0,2.0,0.54375,0.5375,O1,0.03499999999999992,1.000-1.250s,0.11749999999999994
P14,cnn,80,64,1025,1024.0,1.0,2.0,0.56375,0.575,AF8,0.03125,1.000-1.250s,0.14749999999999996
P15,cnn,80,64,1025,1024.0,1.0,2.0,0.53125,0.5,FC3,0.02937500000000004,1.500-1.750s,0.061249999999999916
