participant,model,sample_start,sample_stop,time_start_s,time_stop_s,baseline_auc,occluded_auc,delta_auc,baseline_accuracy,occluded_accuracy,delta_accuracy
P01,cnn,0,256,1.0,1.25,0.6175,0.560625,0.05687500000000001,0.5875,0.5125,0.07500000000000007
P01,cnn,256,512,1.25,1.5,0.6175,0.569375,0.048125000000000084,0.5875,0.5375,0.050000000000000044
P01,cnn,512,768,1.5,1.75,0.6175,0.61875,-0.0012499999999999734,0.5875,0.6,-0.012499999999999956
P01,cnn,768,1024,1.75,2.0,0.6175,0.575625,0.041874999999999996,0.5875,0.55,0.03749999999999998
P01,cnn,1024,1025,2.0,2.0009765625,0.6175,0.61375,0.003750000000000031,0.5875,0.575,0.012500000000000067
P02,cnn,0,256,1.0,1.25,0.5265624999999999,0.525625,0.0009374999999999245,0.525,0.5125,0.012500000000000067
P02,cnn,256,512,1.25,1.5,0.5265624999999999,0.47812499999999997,0.04843749999999997,0.525,0.4625,0.0625
P02,cnn,512,768,1.5,1.75,0.5265624999999999,0.52125,0.005312499999999942,0.525,0.5,0.025000000000000022
P02,cnn,768,1024,1.75,2.0,0.5265624999999999,0.530625,-0.00406250000000008,0.525,0.525,0.0
P02,cnn,1024,1025,2.0,2.0009765625,0.5265624999999999,0.52625,0.00031249999999993783,0.525,0.525,0.0
P03,cnn,0,256,1.0,1.25,0.5906250000000001,0.6218750000000001,-0.03125,0.5625,0.5375,0.025000000000000022
P03,cnn,256,512,1.25,1.5,0.5906250000000001,0.5875000000000001,0.0031249999999999334,0.5625,0.5875,-0.025000000000000022
P03,cnn,512,768,1.5,1.75,0.5906250000000001,0.5449999999999999,0.04562500000000014,0.5625,0.5375,0.025000000000000022
P03,cnn,768,1024,1.75,2.0,0.5906250000000001,0.525,0.06562500000000004,0.5625,0.5,0.0625
P03,cnn,1024,1025,2.0,2.0009765625,0.5906250000000001,0.5893750000000001,0.0012499999999999734,0.5625,0.5625,0.0
P05,cnn,0,256,1.0,1.25,0.613125,0.606875,0.006249999999999978,0.5375,0.5875,-0.050000000000000044
P05,cnn,256,512,1.25,1.5,0.613125,0.5618749999999999,0.05125000000000013,0.5375,0.5125,0.025000000000000022
P05,cnn,512,768,1.5,1.75,0.613125,0.610625,0.0025000000000000577,0.5375,0.5875,-0.050000000000000044
P05,cnn,768,1024,1.75,2.0,0.613125,0.555625,0.057499999999999996,0.5375,0.525,0.012499999999999956
P05,cnn,1024,1025,2.0,2.0009765625,0.613125,0.6112500000000001,0.00187499999999996,0.5375,0.5375,0.0
P06,cnn,0,256,1.0,1.25,0.60375,0.5606249999999999,0.04312500000000008,0.575,0.55,0.02499999999999991
P06,cnn,256,512,1.25,1.5,0.60375,0.5875,0.016249999999999987,0.575,0.525,0.04999999999999993
P06,cnn,512,768,1.5,1.75,0.60375,0.605,-0.0012499999999999734,0.575,0.525,0.04999999999999993
P06,cnn,768,1024,1.75,2.0,0.60375,0.485625,0.11812500000000004,0.575,0.475,0.09999999999999998
P06,cnn,1024,1025,2.0,2.0009765625,0.60375,0.6050000000000001,-0.0012500000000000844,0.575,0.575,0.0
P07,cnn,0,256,1.0,1.25,0.45562500000000006,0.47250000000000003,-0.016874999999999973,0.525,0.475,0.050000000000000044
P07,cnn,256,512,1.25,1.5,0.45562500000000006,0.428125,0.02750000000000008,0.525,0.5375,-0.012499999999999956
P07,cnn,512,768,1.5,1.75,0.45562500000000006,0.49250000000000005,-0.03687499999999999,0.525,0.4625,0.0625
P07,cnn,768,1024,1.75,2.0,0.45562500000000006,0.41375,0.04187500000000005,0.525,0.4375,0.08750000000000002
P07,cnn,1024,1025,2.0,2.0009765625,0.45562500000000006,0.45500000000000007,0.0006249999999999867,0.525,0.5375,-0.012499999999999956
P08,cnn,0,256,1.0,1.25,0.4831649831649832,0.5126262626262627,-0.029461279461279466,0.4782608695652174,0.5652173913043478,-0.08695652173913038
P08,cnn,256,512,1.25,1.5,0.4831649831649832,0.521043771043771,-0.03787878787878779,0.4782608695652174,0.4927536231884058,-0.014492753623188415
P08,cnn,512,768,1.5,1.75,0.4831649831649832,0.3863636363636363,0.09680134680134689,0.4782608695652174,0.391304347826087,0.08695652173913043
P08,cnn,768,1024,1.75,2.0,0.4831649831649832,0.5715488215488216,-0.0883838383838384,0.4782608695652174,0.5652173913043478,-0.08695652173913038
P08,cnn,1024,1025,2.0,2.0009765625,0.4831649831649832,0.48316498316498313,5.551115123125783e-17,0.4782608695652174,0.4782608695652174,0.0
P10,cnn,0,256,1.0,1.25,0.605,0.61125,-0.006249999999999978,0.4875,0.5375,-0.04999999999999999
P10,cnn,256,512,1.25,1.5,0.605,0.531875,0.073125,0.4875,0.475,0.012500000000000011
P10,cnn,512,768,1.5,1.75,0.605,0.584375,0.020625000000000004,0.4875,0.55,-0.06250000000000006
P10,cnn,768,1024,1.75,2.0,0.605,0.583125,0.021874999999999978,0.4875,0.55,-0.06250000000000006
P10,cnn,1024,1025,2.0,2.0009765625,0.605,0.603125,0.00187499999999996,0.4875,0.4875,0.0
P11,cnn,0,256,1.0,1.25,0.586875,0.54375,0.04312500000000008,0.5375,0.575,-0.03749999999999998
P11,cnn,256,512,1.25,1.5,0.586875,0.5943750000000001,-0.007500000000000062,0.5375,0.525,0.012499999999999956
P11,cnn,512,768,1.5,1.75,0.586875,0.62625,-0.03937499999999994,0.5375,0.5625,-0.025000000000000022
P11,cnn,768,1024,1.75,2.0,0.586875,0.5106250000000001,0.07624999999999993,0.5375,0.5125,0.025000000000000022
P11,cnn,1024,1025,2.0,2.0009765625,0.586875,0.5850000000000001,0.00187499999999996,0.5375,0.5375,0.0
P12,cnn,0,256,1.0,1.25,0.6275,0.5543750000000001,0.07312499999999988,0.5875,0.5,0.08750000000000002
P12,cnn,256,512,1.25,1.5,0.6275,0.5725,0.05499999999999994,0.5875,0.525,0.0625
P12,cnn,512,768,1.5,1.75,0.6275,0.5587500000000001,0.06874999999999987,0.5875,0.5375,0.050000000000000044
P12,cnn,768,1024,1.75,2.0,0.6275,0.6837499999999999,-0.05624999999999991,0.5875,0.6125,-0.025000000000000022
P12,cnn,1024,1025,2.0,2.0009765625,0.6275,0.628125,-0.0006250000000000977,0.5875,0.6,-0.012499999999999956
P13,cnn,0,256,1.0,1.25,0.54375,0.42625,0.11749999999999994,0.5375,0.4625,0.07499999999999996
P13,cnn,256,512,1.25,1.5,0.54375,0.49250000000000005,0.05124999999999991,0.5375,0.525,0.012499999999999956
P13,cnn,512,768,1.5,1.75,0.54375,0.5837500000000001,-0.04000000000000015,0.5375,0.5875,-0.050000000000000044
P13,cnn,768,1024,1.75,2.0,0.54375,0.5674999999999999,-0.023749999999999938,0.5375,0.575,-0.03749999999999998
P13,cnn,1024,1025,2.0,2.0009765625,0.54375,0.5443749999999999,-0.0006249999999999867,0.5375,0.5375,0.0
P14,cnn,0,256,1.0,1.25,0.56375,0.41625,0.14749999999999996,0.575,0.425,0.14999999999999997
P14,cnn,256,512,1.25,1.5,0.56375,0.524375,0.03937499999999994,0.575,0.4875,0.08749999999999997
P14,cnn,512,768,1.5,1.75,0.56375,0.530625,0.03312499999999996,0.575,0.55,0.02499999999999991
P14,cnn,768,1024,1.75,2.0,0.56375,0.515,0.04874999999999996,0.575,0.575,0.0
P14,cnn,1024,1025,2.0,2.0009765625,0.56375,0.56375,0.0,0.575,0.575,0.0
P15,cnn,0,256,1.0,1.25,0.53125,0.5262500000000001,0.004999999999999893,0.5,0.55,-0.050000000000000044
P15,cnn,256,512,1.25,1.5,0.53125,0.5806250000000001,-0.04937500000000006,0.5,0.575,-0.07499999999999996
P15,cnn,512,768,1.5,1.75,0.53125,0.4700000000000001,0.061249999999999916,0.5,0.475,0.025000000000000022
P15,cnn,768,1024,1.75,2.0,0.53125,0.494375,0.03687499999999999,0.5,0.4375,0.0625
P15,cnn,1024,1025,2.0,2.0009765625,0.53125,0.531875,-0.0006249999999999867,0.5,0.5,0.0
