participant,model,channel,channel_index,baseline_auc,occluded_auc,delta_auc,baseline_accuracy,occluded_accuracy,delta_accuracy
P01,eegnet,Fp1,0,0.625625,0.623125,0.0024999999999999467,0.6,0.6,0.0
P01,eegnet,AF7,1,0.625625,0.6225,0.0031249999999999334,0.6,0.5875,0.012499999999999956
P01,eegnet,AF3,2,0.625625,0.62625,-0.0006249999999999867,0.6,0.625,-0.025000000000000022
P01,eegnet,F1,3,0.625625,0.62,0.005624999999999991,0.6,0.6,0.0
P01,eegnet,F3,4,0.625625,0.628125,-0.0025000000000000577,0.6,0.6,0.0
P01,eegnet,F5,5,0.625625,0.616875,0.008750000000000036,0.6,0.6125,-0.012500000000000067
P01,eegnet,F7,6,0.625625,0.6325,-0.0068749999999999645,0.6,0.625,-0.025000000000000022
P01,eegnet,FT7,7,0.625625,0.6212500000000001,0.004374999999999907,0.6,0.6,0.0
P01,eegnet,FC5,8,0.625625,0.615,0.010624999999999996,0.6,0.6,0.0
P01,eegnet,FC3,9,0.625625,0.62,0.005624999999999991,0.6,0.625,-0.025000000000000022
P01,eegnet,FC1,10,0.625625,0.62625,-0.0006249999999999867,0.6,0.6,0.0
P01,eegnet,C1,11,0.625625,0.629375,-0.003750000000000031,0.6,0.6125,-0.012500000000000067
P01,eegnet,C3,12,0.625625,0.626875,-0.0012499999999999734,0.6,0.6,0.0
P01,eegnet,C5,13,0.625625,0.6268750000000001,-0.0012500000000000844,0.6,0.6125,-0.012500000000000067
P01,eegnet,T7,14,0.625625,0.615625,0.010000000000000009,0.6,0.6125,-0.012500000000000067
P01,eegnet,TP7,15,0.625625,0.63125,-0.005624999999999991,0.6,0.5875,0.012499999999999956
P01,eegnet,CP5,16,0.625625,0.63,-0.004375000000000018,0.6,0.6,0.0
P01,eegnet,CP3,17,0.625625,0.6187499999999999,0.0068750000000000755,0.6,0.6,0.0
P01,eegnet,CP1,18,0.625625,0.6225,0.0031249999999999334,0.6,0.5875,0.012499999999999956
P01,eegnet,P1,19,0.625625,0.605625,0.020000000000000018,0.6,0.6125,-0.012500000000000067
P01,eegnet,P3,20,0.625625,0.636875,-0.011249999999999982,0.6,0.6125,-0.012500000000000067
P01,eegnet,P5,21,0.625625,0.6318750000000001,-0.006250000000000089,0.6,0.6,0.0
P01,eegnet,P7,22,0.625625,0.620625,0.0050000000000000044,0.6,0.6,0.0
P01,eegnet,P9,23,0.625625,0.631875,-0.006249999999999978,0.6,0.5875,0.012499999999999956
P01,eegnet,PO7,24,0.625625,0.63,-0.004375000000000018,0.6,0.6125,-0.012500000000000067
P01,eegnet,PO3,25,0.625625,0.6312500000000001,-0.005625000000000102,0.6,0.6125,-0.012500000000000067
P01,eegnet,O1,26,0.625625,0.62,0.005624999999999991,0.6,0.6125,-0.012500000000000067
P01,eegnet,Iz,27,0.625625,0.616875,0.008750000000000036,0.6,0.6375,-0.03749999999999998
P01,eegnet,Oz,28,0.625625,0.6231249999999999,0.0025000000000000577,0.6,0.6125,-0.012500000000000067
P01,eegnet,POz,29,0.625625,0.6218750000000001,0.00374999999999992,0.6,0.625,-0.025000000000000022
P01,eegnet,Pz,30,0.625625,0.625,0.0006249999999999867,0.6,0.6125,-0.012500000000000067
P01,eegnet,CPz,31,0.625625,0.614375,0.011249999999999982,0.6,0.6,0.0
P01,eegnet,Fpz,32,0.625625,0.61875,0.0068749999999999645,0.6,0.5875,0.012499999999999956
P01,eegnet,Fp2,33,0.625625,0.63375,-0.008125000000000049,0.6,0.6125,-0.012500000000000067
P01,eegnet,AF8,34,0.625625,0.6237499999999999,0.001875000000000071,0.6,0.625,-0.025000000000000022
P01,eegnet,AF4,35,0.625625,0.623125,0.0024999999999999467,0.6,0.6,0.0
P01,eegnet,AFz,36,0.625625,0.6312500000000001,-0.005625000000000102,0.6,0.6125,-0.012500000000000067
P01,eegnet,Fz,37,0.625625,0.620625,0.0050000000000000044,0.6,0.6,0.0
P01,eegnet,F2,38,0.625625,0.62875,-0.0031250000000000444,0.6,0.6125,-0.012500000000000067
P01,eegnet,F4,39,0.625625,0.635,-0.009375000000000022,0.6,0.6,0.0
P01,eegnet,F6,40,0.625625,0.62,0.005624999999999991,0.6,0.6,0.0
P01,eegnet,F8,41,0.625625,0.6256250000000001,-1.1102230246251565e-16,0.6,0.6,0.0
P01,eegnet,FT8,42,0.625625,0.620625,0.0050000000000000044,0.6,0.6125,-0.012500000000000067
