participant,model,n_epochs,n_channels,n_times,sfreq,tmin,tmax,baseline_auc,baseline_accuracy,top_channel,top_channel_delta_auc,top_time_window,top_time_delta_auc
P01,eegnet,80,64,2049,1024.0,0.0,2.0,0.625625,0.6,P1,0.020000000000000018,0.188-0.250s,0.029999999999999916
P02,eegnet,80,64,2049,1024.0,0.0,2.0,0.7125,0.6875,O2,0.03312500000000007,1.125-1.188s,0.038125000000000075
P03,eegnet,80,64,2049,1024.0,0.0,2.0,0.660625,0.5875,FC2,0.02937499999999993,1.188-1.250s,0.07125000000000004
P05,eegnet,80,64,2049,1024.0,0.0,2.0,0.705625,0.675,Oz,0.02749999999999997,0.750-0.812s,0.041874999999999996
P06,eegnet,80,64,2049,1024.0,0.0,2.0,0.726875,0.6,PO3,0.034375000000000044,0.250-0.312s,0.05687500000000012
P07,eegnet,80,64,2049,1024.0,0.0,2.0,0.5793749999999999,0.55,Cz,0.014374999999999916,0.188-0.250s,0.010624999999999885
P08,eegnet,69,64,2049,1024.0,0.0,2.0,0.6658249158249158,0.6376811594202898,AFz,0.022727272727272707,1.875-1.938s,0.0479797979797979
P10,eegnet,80,64,2049,1024.0,0.0,2.0,0.595625,0.55,F4,0.01749999999999996,1.312-1.375s,0.030624999999999902
P11,eegnet,80,64,2049,1024.0,0.0,2.0,0.643125,0.5875,PO8,0.01749999999999996,1.250-1.312s,0.04437499999999994
P12,eegnet,80,64,2049,1024.0,0.0,2.0,0.681875,0.6375,PO7,0.018750000000000044,0.188-0.250s,0.04937499999999995
P13,eegnet,80,64,2049,1024.0,0.0,2.0,0.93875,0.7875,PO4,0.010624999999999996,0.250-0.312s,0.028749999999999942
P14,eegnet,80,64,2049,1024.0,0.0,2.0,0.624375,0.6125,FCz,0.024062499999999987,0.625-0.688s,0.018750000000000044
P15,eegnet,80,64,2049,1024.0,0.0,2.0,0.8175,0.75,PO4,0.019999999999999907,0.438-0.500s,0.026249999999999996
