participant,model,sample_start,sample_stop,time_start_s,time_stop_s,baseline_auc,occluded_auc,delta_auc,baseline_accuracy,occluded_accuracy,delta_accuracy
P01,eegnet,0,64,0.0,0.0625,0.625625,0.6118750000000001,0.013749999999999929,0.6,0.6,0.0
P01,eegnet,64,128,0.0625,0.125,0.625625,0.6225,0.0031249999999999334,0.6,0.6125,-0.012500000000000067
P01,eegnet,128,192,0.125,0.1875,0.625625,0.625625,0.0,0.6,0.6125,-0.012500000000000067
P01,eegnet,192,256,0.1875,0.25,0.625625,0.5956250000000001,0.029999999999999916,0.6,0.575,0.025000000000000022
P01,eegnet,256,320,0.25,0.3125,0.625625,0.61875,0.0068749999999999645,0.6,0.6125,-0.012500000000000067
P01,eegnet,320,384,0.3125,0.375,0.625625,0.6268750000000001,-0.0012500000000000844,0.6,0.6,0.0
P01,eegnet,384,448,0.375,0.4375,0.625625,0.635,-0.009375000000000022,0.6,0.6,0.0
P01,eegnet,448,512,0.4375,0.5,0.625625,0.61625,0.009375000000000022,0.6,0.6125,-0.012500000000000067
P01,eegnet,512,576,0.5,0.5625,0.625625,0.635625,-0.010000000000000009,0.6,0.5875,0.012499999999999956
P01,eegnet,576,640,0.5625,0.625,0.625625,0.6074999999999999,0.018125000000000058,0.6,0.5875,0.012499999999999956
P01,eegnet,640,704,0.625,0.6875,0.625625,0.615,0.010624999999999996,0.6,0.625,-0.025000000000000022
P01,eegnet,704,768,0.6875,0.75,0.625625,0.634375,-0.008750000000000036,0.6,0.5875,0.012499999999999956
P01,eegnet,768,832,0.75,0.8125,0.625625,0.635,-0.009375000000000022,0.6,0.6,0.0
P01,eegnet,832,896,0.8125,0.875,0.625625,0.6287499999999999,-0.0031249999999999334,0.6,0.6125,-0.012500000000000067
P01,eegnet,896,960,0.875,0.9375,0.625625,0.623125,0.0024999999999999467,0.6,0.6125,-0.012500000000000067
P01,eegnet,960,1024,0.9375,1.0,0.625625,0.618125,0.007499999999999951,0.6,0.6,0.0
P01,eegnet,1024,1088,1.0,1.0625,0.625625,0.615625,0.010000000000000009,0.6,0.575,0.025000000000000022
P01,eegnet,1088,1152,1.0625,1.125,0.625625,0.63,-0.004375000000000018,0.6,0.5875,0.012499999999999956
P01,eegnet,1152,1216,1.125,1.1875,0.625625,0.6525,-0.026874999999999982,0.6,0.625,-0.025000000000000022
P01,eegnet,1216,1280,1.1875,1.25,0.625625,0.636875,-0.011249999999999982,0.6,0.6,0.0
P01,eegnet,1280,1344,1.25,1.3125,0.625625,0.66,-0.034375000000000044,0.6,0.6125,-0.012500000000000067
P01,eegnet,1344,1408,1.3125,1.375,0.625625,0.64875,-0.023125000000000062,0.6,0.6,0.0
P01,eegnet,1408,1472,1.375,1.4375,0.625625,0.605,0.020625000000000004,0.6,0.525,0.07499999999999996
P01,eegnet,1472,1536,1.4375,1.5,0.625625,0.63,-0.004375000000000018,0.6,0.6125,-0.012500000000000067
P01,eegnet,1536,1600,1.5,1.5625,0.625625,0.613125,0.012499999999999956,0.6,0.6,0.0
P01,eegnet,1600,1664,1.5625,1.625,0.625625,0.6431250000000001,-0.01750000000000007,0.6,0.6375,-0.03749999999999998
P01,eegnet,1664,1728,1.625,1.6875,0.625625,0.596875,0.028749999999999942,0.6,0.55,0.04999999999999993
P01,eegnet,1728,1792,1.6875,1.75,0.625625,0.60875,0.016874999999999973,0.6,0.6,0.0
P01,eegnet,1792,1856,1.75,1.8125,0.625625,0.6043749999999999,0.021250000000000102,0.6,0.625,-0.025000000000000022
P01,eegnet,1856,1920,1.8125,1.875,0.625625,0.6287499999999999,-0.0031249999999999334,0.6,0.575,0.025000000000000022
P01,eegnet,1920,1984,1.875,1.9375,0.625625,0.61,0.015625,0.6,0.625,-0.025000000000000022
P01,eegnet,1984,2048,1.9375,2.0,0.625625,0.6331249999999999,-0.007499999999999951,0.6,0.6375,-0.03749999999999998
P01,eegnet,2048,2049,2.0,2.0009765625,0.625625,0.62375,0.00187499999999996,0.6,0.6,0.0
P02,eegnet,0,64,0.0,0.0625,0.7125,0.71,0.0025000000000000577,0.6875,0.675,0.012499999999999956
P02,eegnet,64,128,0.0625,0.125,0.7125,0.713125,-0.0006249999999999867,0.6875,0.6375,0.050000000000000044
P02,eegnet,128,192,0.125,0.1875,0.7125,0.71875,-0.006249999999999978,0.6875,0.6875,0.0
P02,eegnet,192,256,0.1875,0.25,0.7125,0.696875,0.015625,0.6875,0.65,0.03749999999999998
P02,eegnet,256,320,0.25,0.3125,0.7125,0.711875,0.0006249999999999867,0.6875,0.6875,0.0
P02,eegnet,320,384,0.3125,0.375,0.7125,0.7050000000000001,0.007499999999999951,0.6875,0.625,0.0625
P02,eegnet,384,448,0.375,0.4375,0.7125,0.6974999999999999,0.015000000000000124,0.6875,0.6375,0.050000000000000044
P02,eegnet,448,512,0.4375,0.5,0.7125,0.7181249999999999,-0.00562499999999988,0.6875,0.6625,0.025000000000000022
P02,eegnet,512,576,0.5,0.5625,0.7125,0.7106250000000001,0.00187499999999996,0.6875,0.65,0.03749999999999998
P02,eegnet,576,640,0.5625,0.625,0.7125,0.70375,0.008750000000000036,0.6875,0.6375,0.050000000000000044
P02,eegnet,640,704,0.625,0.6875,0.7125,0.7068749999999999,0.005625000000000102,0.6875,0.625,0.0625
P02,eegnet,704,768,0.6875,0.75,0.7125,0.6787500000000001,0.03374999999999995,0.6875,0.625,0.0625
P02,eegnet,768,832,0.75,0.8125,0.7125,0.6924999999999999,0.02000000000000013,0.6875,0.6375,0.050000000000000044
P02,eegnet,832,896,0.8125,0.875,0.7125,0.7425,-0.030000000000000027,0.6875,0.675,0.012499999999999956
P02,eegnet,896,960,0.875,0.9375,0.7125,0.7199999999999999,-0.00749999999999984,0.6875,0.6875,0.0
P02,eegnet,960,1024,0.9375,1.0,0.7125,0.706875,0.005624999999999991,0.6875,0.6125,0.07499999999999996
P02,eegnet,1024,1088,1.0,1.0625,0.7125,0.7106250000000001,0.00187499999999996,0.6875,0.7,-0.012499999999999956
P02,eegnet,1088,1152,1.0625,1.125,0.7125,0.704375,0.008125000000000049,0.6875,0.6375,0.050000000000000044
P02,eegnet,1152,1216,1.125,1.1875,0.7125,0.674375,0.038125000000000075,0.6875,0.5875,0.09999999999999998
P02,eegnet,1216,1280,1.1875,1.25,0.7125,0.725625,-0.013124999999999942,0.6875,0.675,0.012499999999999956
