participant,model,channel,channel_index,baseline_auc,occluded_auc,delta_auc,baseline_accuracy,occluded_accuracy,delta_accuracy
P25,eegnet,Fp1,0,0.761875,0.765625,-0.003750000000000031,0.7125,0.7375,-0.025000000000000022
P25,eegnet,AF7,1,0.761875,0.763125,-0.0012500000000000844,0.7125,0.7,0.012500000000000067
P25,eegnet,AF3,2,0.761875,0.765625,-0.003750000000000031,0.7125,0.7125,0.0
P25,eegnet,F1,3,0.761875,0.7612500000000001,0.0006249999999998757,0.7125,0.7,0.012500000000000067
P25,eegnet,F3,4,0.761875,0.755625,0.006249999999999978,0.7125,0.7,0.012500000000000067
P25,eegnet,F5,5,0.761875,0.775,-0.013125000000000053,0.7125,0.725,-0.012499999999999956
P25,eegnet,F7,6,0.761875,0.7481249999999999,0.01375000000000004,0.7125,0.7125,0.0
P25,eegnet,FT7,7,0.761875,0.761875,0.0,0.7125,0.7,0.012500000000000067
P25,eegnet,FC5,8,0.761875,0.7656249999999999,-0.00374999999999992,0.7125,0.7375,-0.025000000000000022
P25,eegnet,FC3,9,0.761875,0.749375,0.012499999999999956,0.7125,0.7125,0.0
P25,eegnet,FC1,10,0.761875,0.7818749999999999,-0.019999999999999907,0.7125,0.725,-0.012499999999999956
P25,eegnet,C1,11,0.761875,0.735625,0.026249999999999996,0.7125,0.725,-0.012499999999999956
P25,eegnet,C3,12,0.761875,0.75125,0.010624999999999996,0.7125,0.7,0.012500000000000067
P25,eegnet,C5,13,0.761875,0.775,-0.013125000000000053,0.7125,0.725,-0.012499999999999956
P25,eegnet,T7,14,0.761875,0.755625,0.006249999999999978,0.7125,0.725,-0.012499999999999956
P25,eegnet,TP7,15,0.761875,0.7562499999999999,0.005625000000000102,0.7125,0.7,0.012500000000000067
P25,eegnet,CP5,16,0.761875,0.7587499999999999,0.0031250000000000444,0.7125,0.7,0.012500000000000067
P25,eegnet,CP3,17,0.761875,0.7481249999999999,0.01375000000000004,0.7125,0.725,-0.012499999999999956
P25,eegnet,CP1,18,0.761875,0.7562499999999999,0.005625000000000102,0.7125,0.7,0.012500000000000067
P25,eegnet,P1,19,0.761875,0.7575,0.004375000000000018,0.7125,0.7125,0.0
P25,eegnet,P3,20,0.761875,0.765625,-0.003750000000000031,0.7125,0.7125,0.0
P25,eegnet,P5,21,0.761875,0.761875,0.0,0.7125,0.7125,0.0
P25,eegnet,P7,22,0.761875,0.760625,0.0012499999999999734,0.7125,0.7,0.012500000000000067
P25,eegnet,P9,23,0.761875,0.7518750000000001,0.009999999999999898,0.7125,0.7,0.012500000000000067
P25,eegnet,PO7,24,0.761875,0.7693749999999999,-0.007499999999999951,0.7125,0.7,0.012500000000000067
P25,eegnet,PO3,25,0.761875,0.7593749999999999,0.0025000000000000577,0.7125,0.7125,0.0
P25,eegnet,O1,26,0.761875,0.765,-0.0031250000000000444,0.7125,0.7125,0.0
P25,eegnet,Iz,27,0.761875,0.744375,0.01749999999999996,0.7125,0.725,-0.012499999999999956
P25,eegnet,Oz,28,0.761875,0.7575,0.004375000000000018,0.7125,0.725,-0.012499999999999956
P25,eegnet,POz,29,0.761875,0.7675,-0.005624999999999991,0.7125,0.6875,0.025000000000000022
P25,eegnet,Pz,30,0.761875,0.765,-0.0031250000000000444,0.7125,0.7125,0.0
P25,eegnet,CPz,31,0.761875,0.7693749999999999,-0.007499999999999951,0.7125,0.7,0.012500000000000067
P25,eegnet,Fpz,32,0.761875,0.765,-0.0031250000000000444,0.7125,0.725,-0.012499999999999956
P25,eegnet,Fp2,33,0.761875,0.7593749999999999,0.0025000000000000577,0.7125,0.7125,0.0
P25,eegnet,AF8,34,0.761875,0.7699999999999999,-0.008124999999999938,0.7125,0.7,0.012500000000000067
P25,eegnet,AF4,35,0.761875,0.77125,-0.009375000000000022,0.7125,0.7,0.012500000000000067
P25,eegnet,AFz,36,0.761875,0.756875,0.0050000000000000044,0.7125,0.7,0.012500000000000067
P25,eegnet,Fz,37,0.761875,0.7562499999999999,0.005625000000000102,0.7125,0.7125,0.0
P25,eegnet,F2,38,0.761875,0.75,0.011874999999999969,0.7125,0.7125,0.0
P25,eegnet,F4,39,0.761875,0.7806249999999999,-0.018749999999999933,0.7125,0.7125,0.0
P25,eegnet,F6,40,0.761875,0.774375,-0.012500000000000067,0.7125,0.7,0.012500000000000067
P25,eegnet,F8,41,0.761875,0.755625,0.006249999999999978,0.7125,0.7375,-0.025000000000000022
P25,eegnet,FT8,42,0.761875,0.7675000000000001,-0.005625000000000102,0.7125,0.7,0.012500000000000067
P25,eegnet,FC6,43,0.761875,0.758125,0.00374999999999992,0.7125,0.7,0.012500000000000067
P25,eegnet,FC4,44,0.761875,0.7568750000000001,0.004999999999999893,0.7125,0.7375,-0.025000000000000022
P25,eegnet,FC2,45,0.761875,0.770625,-0.008750000000000036,0.7125,0.7,0.012500000000000067
