total_standing,correct_standing,accuracy_standing,total_straight,correct_straight,accuracy_straight,total_diagonal,correct_diagonal,accuracy_diagonal,overall_accuracy,macro_f1,macro_auc,cm_standing_standing,cm_standing_straight,cm_standing_diagonal,cm_straight_standing,cm_straight_straight,cm_straight_diagonal,cm_diagonal_standing,cm_diagonal_straight,cm_diagonal_diagonal,participant_id,model,n_features_final,best_params,inner_best_score,cv_mode,repeat,fold,channel_mode,ablation
9,9,1.0,8,8,1.0,9,8,0.8888888888888888,0.9615384615384616,0.9628482972136222,0.9912854030501089,9,0,0,0,8,0,1,0,8,P07,xgb,58,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9927118762757762,repeated_stratified,0,0,full,combined
9,9,1.0,8,8,1.0,9,7,0.7777777777777778,0.9230769230769231,0.9211816305469557,1.0,9,0,0,0,8,0,1,1,7,P07,xgb,55,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.9675529052999409,repeated_stratified,0,1,full,combined
8,7,0.875,8,8,1.0,9,8,0.8888888888888888,0.92,0.9212962962962963,0.9904684095860566,7,0,1,0,8,0,1,0,8,P07,xgb,51,"{'subsample': 1.0, 'reg_lambda': 3, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.9850680720245938,repeated_stratified,0,2,full,combined
9,6,0.6666666666666666,8,8,1.0,8,6,0.75,0.8,0.8039215686274511,0.9309640522875817,6,0,3,0,8,0,2,0,6,P07,xgb,52,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9564302444737227,repeated_stratified,0,3,full,combined
9,9,1.0,7,7,1.0,9,4,0.4444444444444444,0.8,0.7993311036789298,0.9259259259259259,9,0,0,0,7,0,5,0,4,P07,xgb,32,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9345447225882008,repeated_stratified,0,4,full,combined
9,8,0.8888888888888888,8,8,1.0,9,9,1.0,0.9615384615384616,0.9628482972136223,0.9912854030501089,8,0,1,0,8,0,0,0,9,P07,xgb,47,"{'subsample': 1.0, 'reg_lambda': 3, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.9872456448543404,repeated_stratified,1,0,full,combined
9,7,0.7777777777777778,8,8,1.0,9,7,0.7777777777777778,0.8461538461538461,0.8518518518518517,0.9673202614379085,7,0,2,0,8,0,2,0,7,P07,xgb,55,"{'subsample': 1.0, 'reg_lambda': 3, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.9852991455428873,repeated_stratified,1,1,full,combined
8,8,1.0,8,8,1.0,9,8,0.8888888888888888,0.96,0.9607843137254902,0.9761710239651417,8,0,0,0,8,0,1,0,8,P07,xgb,54,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.9786817449860928,repeated_stratified,1,2,full,combined
9,8,0.8888888888888888,8,8,1.0,8,8,1.0,0.96,0.9607843137254902,0.9904684095860566,8,0,1,0,8,0,0,0,8,P07,xgb,58,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.9795966915532133,repeated_stratified,1,3,full,combined
9,3,0.3333333333333333,7,7,1.0,9,7,0.7777777777777778,0.68,0.677078477078477,0.8611111111111112,3,0,6,0,7,0,1,1,7,P07,xgb,17,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.9248645879080661,repeated_stratified,1,4,full,combined
