total_standing,correct_standing,accuracy_standing,total_straight,correct_straight,accuracy_straight,total_diagonal,correct_diagonal,accuracy_diagonal,overall_accuracy,macro_f1,macro_auc,cm_standing_standing,cm_standing_straight,cm_standing_diagonal,cm_straight_standing,cm_straight_straight,cm_straight_diagonal,cm_diagonal_standing,cm_diagonal_straight,cm_diagonal_diagonal,participant_id,model,n_features_final,best_params,inner_best_score,cv_mode,repeat,fold,channel_mode,ablation
8,8,1.0,8,8,1.0,8,8,1.0,1.0,1.0,1.0,8,0,0,0,8,0,0,0,8,P09,xgb,150,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9921356421356422,repeated_stratified,0,0,full,electrode
8,8,1.0,8,6,0.75,8,8,1.0,0.9166666666666666,0.9153439153439153,0.9973958333333334,8,0,0,0,6,2,0,0,8,P09,xgb,147,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9920634920634921,repeated_stratified,0,1,full,electrode
8,8,1.0,8,6,0.75,8,8,1.0,0.9166666666666666,0.9131652661064426,0.9947916666666666,8,0,0,1,6,1,0,0,8,P09,xgb,148,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.9935786435786436,repeated_stratified,0,2,full,electrode
8,8,1.0,8,8,1.0,8,8,1.0,1.0,1.0,1.0,8,0,0,0,8,0,0,0,8,P09,xgb,143,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9985329485329486,repeated_stratified,0,3,full,electrode
8,8,1.0,8,8,1.0,8,6,0.75,0.9166666666666666,0.9131652661064426,0.9765625,8,0,0,0,8,0,1,1,6,P09,xgb,145,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.999013949013949,repeated_stratified,0,4,full,electrode
8,7,0.875,8,8,1.0,8,8,1.0,0.9583333333333334,0.9581699346405229,0.9973958333333334,7,1,0,0,8,0,0,0,8,P09,xgb,149,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9907166907166908,repeated_stratified,1,0,full,electrode
8,8,1.0,8,7,0.875,8,8,1.0,0.9583333333333334,0.9581699346405229,0.9947916666666666,8,0,0,0,7,1,0,0,8,P09,xgb,143,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9955747955747957,repeated_stratified,1,1,full,electrode
8,7,0.875,8,7,0.875,8,8,1.0,0.9166666666666666,0.9165032679738562,0.9947916666666666,7,1,0,0,7,1,0,0,8,P09,xgb,148,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.996055796055796,repeated_stratified,1,2,full,electrode
8,8,1.0,8,8,1.0,8,5,0.625,0.875,0.8704453441295547,0.9895833333333334,8,0,0,0,8,0,0,3,5,P09,xgb,147,"{'subsample': 0.6, 'reg_lambda': 10, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9985569985569986,repeated_stratified,1,3,full,electrode
8,8,1.0,8,8,1.0,8,8,1.0,1.0,1.0,1.0,8,0,0,0,8,0,0,0,8,P09,xgb,149,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.99006734006734,repeated_stratified,1,4,full,electrode
