total_standing,correct_standing,accuracy_standing,total_straight,correct_straight,accuracy_straight,total_diagonal,correct_diagonal,accuracy_diagonal,overall_accuracy,macro_f1,macro_auc,cm_standing_standing,cm_standing_straight,cm_standing_diagonal,cm_straight_standing,cm_straight_straight,cm_straight_diagonal,cm_diagonal_standing,cm_diagonal_straight,cm_diagonal_diagonal,participant_id,model,n_features_final,best_params,inner_best_score,cv_mode,repeat,fold,channel_mode,ablation
8,8,1.0,8,3,0.375,8,2,0.25,0.5416666666666666,0.5025641025641027,0.7135416666666666,8,0,0,2,3,3,2,4,2,P02,xgb,15,"{'subsample': 0.6, 'reg_lambda': 5, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.7323713323713325,repeated_stratified,0,0,full,sep
8,6,0.75,8,4,0.5,8,1,0.125,0.4583333333333333,0.4546365914786967,0.671875,6,1,1,0,4,4,1,6,1,P02,xgb,13,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.7852573352573353,repeated_stratified,0,1,full,sep
8,7,0.875,8,1,0.125,8,4,0.5,0.5,0.4990810359231412,0.6536458333333334,7,1,0,0,1,7,0,4,4,P02,xgb,31,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.8227272727272728,repeated_stratified,0,2,full,sep
8,7,0.875,8,4,0.5,8,1,0.125,0.5,0.462962962962963,0.7421875,7,1,0,1,4,3,2,5,1,P02,xgb,12,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.7595478595478595,repeated_stratified,0,3,full,sep
8,8,1.0,8,3,0.375,8,0,0.0,0.4583333333333333,0.4189886480908152,0.703125,8,0,0,1,3,4,0,8,0,P02,xgb,30,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.767147667147667,repeated_stratified,0,4,full,sep
8,6,0.75,8,3,0.375,8,5,0.625,0.5833333333333334,0.5721468074409252,0.734375,6,1,1,2,3,3,2,1,5,P02,xgb,12,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 16, 'learning_rate': 0.05, 'gamma': 2, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.7051467051467052,repeated_stratified,1,0,full,sep
8,8,1.0,8,2,0.25,8,3,0.375,0.5416666666666666,0.5276143790849673,0.796875,8,0,0,1,2,5,0,5,3,P02,xgb,31,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.7381914381914382,repeated_stratified,1,1,full,sep
8,6,0.75,8,5,0.625,8,1,0.125,0.5,0.4809523809523809,0.7265625,6,2,0,0,5,3,1,6,1,P02,xgb,31,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 16, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.7198893698893699,repeated_stratified,1,2,full,sep
8,7,0.875,8,0,0.0,8,2,0.25,0.375,0.3054626532887403,0.7421875,7,1,0,5,0,3,3,3,2,P02,xgb,14,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 2, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.7338143338143338,repeated_stratified,1,3,full,sep
8,6,0.75,8,2,0.25,8,3,0.375,0.4583333333333333,0.4666666666666666,0.65625,6,0,2,1,2,5,0,5,3,P02,xgb,12,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.7765271765271766,repeated_stratified,1,4,full,sep
8,6,0.75,8,3,0.375,8,2,0.25,0.4583333333333333,0.4676470588235294,0.703125,6,1,1,0,3,5,1,5,2,P02,xgb,14,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.5, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 2, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.7781866281866282,repeated_stratified,2,0,full,sep
8,7,0.875,8,4,0.5,8,4,0.5,0.625,0.625,0.78125,7,1,0,0,4,4,1,3,4,P02,xgb,13,"{'subsample': 1.0, 'reg_lambda': 3, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.7634920634920634,repeated_stratified,2,1,full,sep
