total_standing,correct_standing,accuracy_standing,total_straight,correct_straight,accuracy_straight,total_diagonal,correct_diagonal,accuracy_diagonal,overall_accuracy,macro_f1,macro_auc,cm_standing_standing,cm_standing_straight,cm_standing_diagonal,cm_straight_standing,cm_straight_straight,cm_straight_diagonal,cm_diagonal_standing,cm_diagonal_straight,cm_diagonal_diagonal,participant_id,model,n_features_final,best_params,inner_best_score,cv_mode,repeat,fold,channel_mode,ablation
8,8,1.0,8,6,0.75,8,3,0.375,0.7083333333333334,0.6977058029689608,0.8333333333333334,8,0,0,0,6,2,0,5,3,P14,xgb,149,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.896897546897547,repeated_stratified,0,0,full,window
8,8,1.0,8,8,1.0,8,4,0.5,0.8333333333333334,0.8166494668042655,0.875,8,0,0,0,8,0,1,3,4,P14,xgb,150,"{'subsample': 0.6, 'reg_lambda': 5, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9434824434824435,repeated_stratified,0,1,full,window
8,7,0.875,8,4,0.5,8,7,0.875,0.75,0.7472013366750209,0.90625,7,1,0,0,4,4,0,1,7,P14,xgb,149,"{'subsample': 0.6, 'reg_lambda': 10, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.9495911495911495,repeated_stratified,0,2,full,window
8,7,0.875,8,2,0.25,8,6,0.75,0.625,0.6136752136752137,0.8645833333333334,7,1,0,0,2,6,0,2,6,P14,xgb,150,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9626022126022126,repeated_stratified,0,3,full,window
8,8,1.0,8,7,0.875,8,6,0.75,0.875,0.8745098039215686,0.9270833333333334,8,0,0,0,7,1,0,2,6,P14,xgb,149,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9587061087061087,repeated_stratified,0,4,full,window
8,8,1.0,8,6,0.75,8,4,0.5,0.75,0.746031746031746,0.9010416666666666,8,0,0,0,6,2,0,4,4,P14,xgb,144,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9233285233285232,repeated_stratified,1,0,full,window
8,8,1.0,8,5,0.625,8,5,0.625,0.75,0.744281045751634,0.875,8,0,0,0,5,3,1,2,5,P14,xgb,145,"{'subsample': 0.6, 'reg_lambda': 5, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9467051467051467,repeated_stratified,1,1,full,window
8,7,0.875,8,4,0.5,8,4,0.5,0.625,0.634640522875817,0.8229166666666666,7,1,0,0,4,4,0,4,4,P14,xgb,150,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.877104377104377,repeated_stratified,1,2,full,window
8,8,1.0,8,7,0.875,8,4,0.5,0.7916666666666666,0.7840755735492578,0.9088541666666666,8,0,0,0,7,1,0,4,4,P14,xgb,150,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.897931697931698,repeated_stratified,1,3,full,window
8,6,0.75,8,6,0.75,8,6,0.75,0.75,0.7579365079365079,0.9140625,6,2,0,0,6,2,0,2,6,P14,xgb,150,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9059163059163059,repeated_stratified,1,4,full,window
