pid,has_bdf,stim_py,d_Control,d_One,d_Two,sfreq,n_ch,dur_s,n_256,n_512,n_1024,n_one_stim,n_two_stim,n_paired,n_1024_unpaired,uniq_codes
P01,True,P01_Stim.py,,215.0,225.0,1024.0,80.0,1127.0,40.0,40.0,368.0,160.0,160.0,320.0,48.0,"96,256,512,1024,2048,2144,4096"
P02,True,P02_Stim.py,233.0,221.0,242.0,2048.0,80.0,1096.0,40.0,40.0,320.0,160.0,160.0,320.0,0.0,"96,256,512,1024,2048,2144,4096"
P03,True,P03_Stim.py,276.0,236.0,246.0,1024.0,80.0,551.0,20.0,20.0,160.0,80.0,80.0,160.0,0.0,"96,256,512,1024,2048,2144,4096"
P04,True,P04_Stim.py,252.0,266.0,194.0,1024.0,80.0,1099.0,40.0,40.0,320.0,160.0,160.0,320.0,0.0,"96,256,512,1024,2048,2144,4096"
P05,True,P05_Stim.py,266.0,266.0,266.0,1024.0,80.0,40.0,2.0,1.0,12.0,8.0,4.0,12.0,0.0,"96,256,512,1024,2048,2144,4096"
P06,True,P06_Stim.py,225.0,266.0,290.0,1024.0,80.0,1105.0,40.0,40.0,320.0,160.0,160.0,320.0,0.0,"64,96,256,512,1024,2048,2144,4096"
P07,True,P07_Stim.py,262.0,266.0,266.0,1024.0,80.0,1122.0,38.0,44.0,321.0,145.0,176.0,321.0,0.0,"32,64,96,256,512,1024,2048,2144,4096"
P08,True,P08_Stim.py,240.0,252.0,211.0,1024.0,80.0,1108.0,40.0,40.0,320.0,160.0,160.0,320.0,0.0,"32,64,96,256,512,1024,2048,2144,4096"
P09,True,P09_Stim.py,245.0,180.0,180.0,1024.0,73.0,1096.0,40.0,40.0,320.0,160.0,160.0,320.0,0.0,"32,64,96,256,512,1024,2048,2144,4096"
P10,True,P10_Stim.py,210.0,263.0,263.0,1024.0,80.0,1435.0,52.0,52.0,416.0,208.0,208.0,416.0,0.0,"32,64,96,256,512,1024,2048,2144,4096"
