pid,sfreq,n_trials,offset_ms,onset_ms,ci_lo,ci_hi,boot_sd_ms,fwhm_ms,prominence,offset_samp,onset_samp,offset_ms_One,offset_ms_Two,handset_One_samp,handset_Two_samp,handset_Control_samp,handset_One_ms,handset_Two_ms,resid_One_ms,resid_Two_ms
P01,1024.0,320,267.43,265.55,267.21,277.35,4.27,12.7,32.8,273.8,271.9,267.44,267.41,215.0,225.0,,210.0,219.7,57.5,47.7
P02,2048.0,320,266.4,265.01,265.71,276.83,4.94,12.21,30.9,545.6,542.7,276.42,266.54,221.0,242.0,233.0,107.9,118.2,158.5,148.2
P03,1024.0,160,276.75,275.31,177.74,277.54,27.18,45.9,7.1,283.4,281.9,277.26,276.37,236.0,246.0,276.0,230.5,240.2,46.3,36.5
P04,1024.0,320,266.83,265.45,266.65,278.04,4.82,12.7,21.0,273.2,271.8,266.76,266.86,266.0,194.0,252.0,259.8,189.5,7.1,77.4
P06,1024.0,320,277.28,275.7,266.92,277.51,3.7,11.72,33.7,283.9,282.3,277.35,277.16,266.0,290.0,225.0,259.8,283.2,17.5,-5.9
P07,1024.0,321,219.49,218.04,188.49,312.25,28.17,82.03,1894.7,224.8,223.3,219.49,270.64,266.0,266.0,262.0,259.8,259.8,-40.3,-40.3
P08,1024.0,320,277.35,275.59,267.23,277.66,4.89,11.72,50.3,284.0,282.2,267.48,277.43,252.0,211.0,240.0,246.1,206.1,31.3,71.3
P09,1024.0,320,266.78,264.81,266.64,277.22,4.07,12.7,524.0,273.2,271.2,266.8,266.76,180.0,180.0,245.0,175.8,175.8,91.0,91.0
P10,1024.0,416,267.67,266.42,125.82,320.47,50.97,197.27,5.6,274.1,272.8,276.48,320.32,263.0,263.0,210.0,256.8,256.8,10.8,10.8
P11,2048.0,320,265.79,264.97,127.87,322.71,44.01,197.27,4.6,544.3,542.7,275.3,260.71,211.0,191.0,246.0,103.0,93.3,162.8,172.5
P12,1024.0,320,277.36,275.81,266.83,277.73,2.59,11.72,18.5,284.0,282.4,277.41,277.32,167.0,98.0,176.0,163.1,95.7,114.3,181.7
P13,1024.0,320,277.11,275.41,266.84,277.33,4.85,12.7,101.3,283.8,282.0,277.26,267.01,241.0,241.0,241.0,235.4,235.4,41.8,41.8
P14,1024.0,320,277.33,276.18,266.68,277.66,7.29,11.72,9.4,284.0,282.8,277.13,277.49,225.0,256.0,266.0,219.7,250.0,57.6,27.3
P15,1024.0,320,267.71,266.98,124.06,336.99,62.4,212.89,3.9,274.1,273.4,173.81,267.79,248.0,263.0,258.0,242.2,256.8,25.5,10.9
P16,1024.0,320,247.73,246.59,142.6,323.87,44.55,170.9,5.0,253.7,252.5,248.1,208.26,277.0,277.0,262.0,270.5,270.5,-22.8,-22.8
P17,1024.0,320,277.27,274.95,266.76,277.92,3.96,12.7,29.0,283.9,281.5,276.64,277.4,276.0,275.0,282.0,269.5,268.6,7.7,8.7
P18,1024.0,320,276.71,275.56,266.74,277.14,2.52,11.72,24.8,283.3,282.2,276.51,277.15,245.0,215.0,245.0,239.3,210.0,37.5,66.7
P19,1024.0,320,277.55,275.7,267.37,277.94,4.41,11.72,147.1,284.2,282.3,277.54,277.55,219.0,266.0,205.0,213.9,259.8,63.7,17.8
P21,1024.0,320,266.71,265.88,149.4,324.98,35.21,175.78,5.8,273.1,272.3,325.15,266.63,234.0,211.0,253.0,228.5,206.1,38.2,60.7
P22,1024.0,320,267.53,266.14,267.13,278.21,3.97,13.67,15.7,274.0,272.5,269.28,267.52,317.0,317.0,317.0,309.6,309.6,-42.0,-42.0
P23,1024.0,320,276.98,275.66,267.45,277.21,3.66,9.77,15.5,283.6,282.3,277.14,267.55,256.0,256.0,256.0,250.0,250.0,27.0,27.0
P24,1024.0,320,264.56,264.09,132.77,336.87,61.25,207.03,3.6,270.9,270.4,274.61,277.48,250.0,266.0,266.0,244.1,259.8,20.4,4.8
P25,1024.0,320,277.36,275.81,266.83,277.73,2.59,11.72,18.5,284.0,282.4,277.41,277.32,243.0,225.0,240.0,237.3,219.7,40.1,57.6
P27,1024.0,343,277.54,276.67,125.97,278.14,52.19,152.34,6.6,284.2,283.3,277.58,277.54,266.0,266.0,266.0,259.8,259.8,17.8,17.8
P28,1024.0,320,267.36,266.12,253.05,277.42,11.77,12.7,8.7,273.8,272.5,267.28,267.51,256.0,256.0,256.0,250.0,250.0,17.4,17.4
P29,1024.0,320,277.16,275.65,266.96,277.42,4.63,11.72,22.7,283.8,282.3,277.19,277.08,215.0,225.0,225.0,210.0,219.7,67.2,57.4
P30,1024.0,320,316.63,316.05,124.09,316.75,67.16,193.36,4.3,324.2,323.6,227.46,182.71,256.0,256.0,272.0,250.0,250.0,66.6,66.6
P31,1024.0,320,267.33,266.3,136.71,326.22,51.73,189.45,4.8,273.7,272.7,267.46,156.49,266.0,266.0,266.0,259.8,259.8,7.6,7.6
P33,1024.0,320,276.8,275.88,145.53,326.36,53.84,199.22,4.1,283.4,282.5,339.84,268.6,269.0,269.0,256.0,262.7,262.7,14.1,14.1
P35,1024.0,320,266.54,265.92,145.32,316.61,36.75,55.66,6.6,272.9,272.3,266.74,316.56,266.0,266.0,262.0,259.8,259.8,6.8,6.8
P37,1024.0,320,277.08,275.42,266.7,277.37,4.38,11.72,14.6,283.7,282.0,277.09,266.8,256.0,225.0,256.0,250.0,219.7,27.1,57.4
P39,1024.0,213,276.45,274.64,137.81,339.84,40.05,202.15,5.3,283.1,281.2,277.55,212.05,260.0,205.0,260.0,253.9,200.2,22.5,76.3
