a,b,measure,n,mean_a,mean_b,mean_diff,t,df,p,dz,p_holm,sig
straight_1,diagonal_1,p2p,28,1.375,1.61,-0.234,-1.228,27,0.2299,-0.232,0.6896,
straight_1,diagonal_1,p50,28,0.782,0.699,0.082,0.311,27,0.758,0.059,1.0,
straight_1,diagonal_1,n90,28,-0.594,-0.91,0.316,1.097,27,0.2824,0.207,1.0,
straight_2,diagonal_2,p2p,27,1.875,1.354,0.52,2.329,26,0.0279,0.448,0.1116,
straight_2,diagonal_2,p50,27,0.844,0.65,0.195,0.786,26,0.4387,0.151,1.0,
straight_2,diagonal_2,n90,27,-1.03,-0.705,-0.326,-1.157,26,0.2579,-0.223,1.0,
straight_3,diagonal_3,p2p,28,1.607,1.601,0.007,0.032,27,0.9749,0.006,1.0,
straight_3,diagonal_3,p50,28,0.453,0.453,-0.0,-0.001,27,0.9995,-0.0,1.0,
straight_3,diagonal_3,n90,28,-1.154,-1.148,-0.007,-0.03,27,0.9763,-0.006,1.0,
straight_4,diagonal_4,p2p,28,1.625,1.756,-0.131,-0.676,27,0.5047,-0.128,1.0,
straight_4,diagonal_4,p50,28,0.503,0.481,0.022,0.136,27,0.893,0.026,1.0,
straight_4,diagonal_4,n90,28,-1.122,-1.276,0.154,0.708,27,0.4848,0.134,1.0,
