a,b,measure,n,mean_a,mean_b,mean_diff,t,df,p,dz,p_holm,sig
straight_1,straight_2,p2p,27,1.407,1.875,-0.467,-2.912,26,0.0073,-0.56,0.0874,
straight_1,straight_2,p50,27,0.757,0.844,-0.087,-0.351,26,0.7284,-0.068,1.0,
straight_1,straight_2,n90,27,-0.65,-1.03,0.38,1.445,26,0.1603,0.278,1.0,
straight_1,straight_3,p2p,28,1.375,1.607,-0.232,-1.177,27,0.2496,-0.222,1.0,
straight_1,straight_3,p50,28,0.782,0.453,0.328,1.175,27,0.2502,0.222,1.0,
straight_1,straight_3,n90,28,-0.594,-1.154,0.56,1.657,27,0.1091,0.313,0.9819,
straight_1,straight_4,p2p,28,1.375,1.625,-0.249,-1.501,27,0.145,-0.284,1.0,
straight_1,straight_4,p50,28,0.782,0.503,0.279,1.397,27,0.1739,0.264,1.0,
straight_1,straight_4,n90,28,-0.594,-1.122,0.528,2.419,27,0.0226,0.457,0.2706,
straight_2,straight_3,p2p,27,1.875,1.618,0.257,1.212,26,0.2366,0.233,1.0,
straight_2,straight_3,p50,27,0.844,0.489,0.355,1.621,26,0.1171,0.312,1.0,
straight_2,straight_3,n90,27,-1.03,-1.129,0.098,0.455,26,0.6531,0.088,1.0,
straight_2,straight_4,p2p,27,1.875,1.645,0.23,1.089,26,0.2859,0.21,1.0,
straight_2,straight_4,p50,27,0.844,0.469,0.376,1.784,26,0.0861,0.343,1.0,
straight_2,straight_4,n90,27,-1.03,-1.176,0.146,0.655,26,0.5183,0.126,1.0,
straight_3,straight_4,p2p,28,1.607,1.625,-0.017,-0.068,27,0.9459,-0.013,1.0,
straight_3,straight_4,p50,28,0.453,0.503,-0.05,-0.25,27,0.8042,-0.047,1.0,
straight_3,straight_4,n90,28,-1.154,-1.122,-0.032,-0.144,27,0.8862,-0.027,1.0,
diagonal_1,diagonal_2,p2p,28,1.61,1.436,0.174,0.703,27,0.4879,0.133,1.0,
diagonal_1,diagonal_2,p50,28,0.699,0.721,-0.021,-0.096,27,0.924,-0.018,1.0,
diagonal_1,diagonal_2,n90,28,-0.91,-0.715,-0.195,-0.825,27,0.4166,-0.156,1.0,
diagonal_1,diagonal_3,p2p,28,1.61,1.601,0.009,0.039,27,0.9691,0.007,1.0,
diagonal_1,diagonal_3,p50,28,0.699,0.453,0.246,1.089,27,0.2857,0.206,1.0,
diagonal_1,diagonal_3,n90,28,-0.91,-1.148,0.237,0.891,27,0.381,0.168,1.0,
diagonal_1,diagonal_4,p2p,28,1.61,1.756,-0.147,-0.713,27,0.4817,-0.135,1.0,
diagonal_1,diagonal_4,p50,28,0.699,0.481,0.219,1.24,27,0.2257,0.234,1.0,
diagonal_1,diagonal_4,n90,28,-0.91,-1.276,0.366,1.477,27,0.1512,0.279,1.0,
diagonal_2,diagonal_3,p2p,28,1.436,1.601,-0.165,-0.819,27,0.4199,-0.155,1.0,
diagonal_2,diagonal_3,p50,28,0.721,0.453,0.268,1.241,27,0.2251,0.235,1.0,
diagonal_2,diagonal_3,n90,28,-0.715,-1.148,0.433,1.829,27,0.0784,0.346,0.7844,
diagonal_2,diagonal_4,p2p,28,1.436,1.756,-0.321,-1.759,27,0.09,-0.332,0.9899,
diagonal_2,diagonal_4,p50,28,0.721,0.481,0.24,1.055,27,0.301,0.199,1.0,
diagonal_2,diagonal_4,n90,28,-0.715,-1.276,0.561,2.306,27,0.029,0.436,0.3189,
diagonal_3,diagonal_4,p2p,28,1.601,1.756,-0.155,-0.755,27,0.457,-0.143,1.0,
diagonal_3,diagonal_4,p50,28,0.453,0.481,-0.027,-0.127,27,0.8998,-0.024,1.0,
diagonal_3,diagonal_4,n90,28,-1.148,-1.276,0.128,0.588,27,0.5612,0.111,1.0,
